magazineID	magazineName	editorInChiefID	magazineNewDate	from_year	to_year	magazineType	periodicity	magazinesInfo	magazine_available_numbers	magazine_available_pages	magazineCoverURL	countryID	countryName	country	authorID	magazineyearID	editorInChiefURL	editorInChiefImageURL
164	إبداع	عبد القادر القط	1983	1983		شهرية	monthly	208 عدد - 31409 صفحة	208	31409	magazinesCovers\Ibdaa.jpg	19	مصر	Egypt	157	0	http://ar.wikipedia.org/wiki/%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D9%82%D8%A7%D8%AF%D8%B1_%D8%A7%D9%84%D9%82%D8%B7	AuthorImage\157.jpg
237	أبعاد	حمد بن عبد العزيز السويلم	2007	2007		ربع سنوية	quarterly	11 عدد - 679 صفحة	11	679	magazinesCovers\Abaad.JPG	24	السعودية	Saudi Arabia	48418	0	http://ar.wikipedia.org/wiki/حمد بن عبد العزيز السويلم	authorImage\NO-IMAGE-AVAILABLE.jpg
220	أبعاد فكرية	قاسم الزهيري	1989	1989		غير دورية	non-periodical	1 عدد - 113 صفحة	1	113	magazinesCovers\Abaad_fikriya.JPG	10	المغرب	Morocco	41189	0	http://ar.wikipedia.org/wiki/قاسم الزهيري	authorImage\NO-IMAGE-AVAILABLE.jpg
22	أبواب	ربيع فواز	1994  إلى  2002	1994	2002	فصلية	quarterly	30 عدد - 7036 صفحة	30	7036	magazinesCovers\Abwab.jpg	6	لبنان	Lebanon	22721	0		authorImage\NO-IMAGE-AVAILABLE.jpg
29	أبولُّو	أحمد زكي أبو شادي	1932  إلى  1934	1932	1934	شهرية	monthly	25 عدد - 3771 صفحة	25	3771	magazinesCovers\Apolo.jpg	19	مصر	Egypt	261	0	http://ar.wikipedia.org/wiki/%D8%A3%D8%AD%D9%85%D8%AF_%D8%B2%D9%83%D9%8A_%D8%A3%D8%A8%D9%88_%D8%B4%D8%A7%D8%AF%D9%8A	AuthorImage\261.jpg
143	آداب الرافدين	محمود صالح إسماعيل	1971	1971		غير دورية	non-periodical	25 عدد - 10152 صفحة	25	10152	magazinesCovers\Adab_AL_Rafidayn.jpg	8	العراق	Iraq	24957	0		authorImage\NO-IMAGE-AVAILABLE.jpg
24	أدب	يوسف الخال	1962  إلى  1963	1962	1963	فصلية	quarterly	8 عدد - 1027 صفحة	8	1027	magazinesCovers\ADAB.jpg	6	لبنان	Lebanon	74	0		AuthorImage\74.jpg
132	أدب ونقد	الطاهر أحمد مكي	1984	1984		شهرية	monthly	53 عدد - 8083 صفحة	53	8083	magazinesCovers\adab_wanaqd.jpg	19	مصر	Egypt	15756	0	http://ar.wikipedia.org/wiki/الطاهر مكي	AuthorImage\15756.jpg
249	أسفار	لؤي حقي	1985	1985		شهرية	monthly	8 عدد - 1523 صفحة	8	1523	magazinesCovers\Asfar.JPG	8	العراق	Iraq	31474	0		authorImage\NO-IMAGE-AVAILABLE.jpg
307	إشكالات في اللغة والأدب	بلخير دادة موسى	2013	2013		دورية	periodical	10 عدد - 3734 صفحة	10	3734	magazinesCovers\Ishkelet.JPG	12	الجزائر	Algeria	61671	0		authorImage\NO-IMAGE-AVAILABLE.jpg